Name des Beihilfeempfängers,"Beihilfeelement, in voller Höhe"
Linzer Veranstaltungs- gesellschaft m.b.H.,800000.0
Vereinigte Bühnen Wien GmbH,800000.0
Wiener Stadthalle Betriebs- und<br> Veranstaltungsgesellschaft m.b.H.,800000.0
chaka2 GmbH,748987.78
Klingler GmbH,693203.0599999999
Parnassus Arts Productions GmbH,596272.1
Droneberger Showtechnik GmbH,593057.64
Kitz Musik GmbH,376203.86
Tiroler Festspiele Erl Betriebs- ges.m.b.H,289336.99
WANDAMUSIK OG,222404.55
Soulshine GmbH,203273.93
Jazz & Musicclub Porgy & Bess,195862.21000000002
